,x,y,vx,vy,E_total,E_kin,E_pot
150,4.029251067787259,-112.66734518788886,-1.3738256642208073,4.60822385332241,-68627.36412627253,1040.5405817100623,-69667.90470798258
151,3.6743369980974396,-111.45817955544672,-1.4633115737343103,5.05248070628949,-68652.06868082556,1245.097892216355,-69897.1665730419
152,3.2986953066842646,-110.14763012833396,-1.5396123764412297,5.418546880904339,-68683.32329793993,1427.8975456612116,-70111.22084360114
153,2.9056379875278395,-108.75573949330837,-1.6026411329861274,5.70272539048014,-68720.62099634655,1579.0290966164662,-70299.65009296301
154,2.498470654147472,-107.30327983671533,-1.652531525035237,5.902865141160256,-68762.92013531552,1690.8604792182082,-70453.78061453372
155,2.0804408420246276,-105.81137657274893,-1.6896093750288812,6.018274115906712,-68808.7461377222,1758.3481428470188,-70567.09428056922
156,1.6546939639912255,-104.30115774330761,-1.714360224494096,6.04960178114053,-68856.34024043265,1779.1520710367754,-70635.49231146942
157,1.2242376676384779,-102.79343556914614,-1.7273948350220594,5.998701157686046,-68903.83309124225,1753.5738822878159,-70657.40697353007
158,0.7919149016019758,-101.30842400801059,-1.7294142714648428,5.868480199377936,-68949.42031271984,1684.347010777673,-70633.76732349751
159,0.36038561509173683,-99.86549392093728,-1.7211759609526316,5.662750806542216,-68991.51956600178,1576.313702350008,-70567.8332683518
160,-0.06788329742856752,-98.4829655617575,-1.7034618326813717,5.386082208400799,-69028.89326537233,1436.0248696974213,-70464.91813506975
161,-0.49062043496839536,-97.17793662979231,-1.6770493595370008,5.043663783046496,-69060.72689508661,1271.2967509832258,-70332.02364606984
162,-0.9057455124024469,-95.9661430593787,-1.6426860576008666,4.641180800689464,-69086.65891824743,1090.7539518836147,-70177.41287013105
163,-1.3113590746296329,-94.86184902766624,-1.601067751945409,4.184705179190223,-69106.7637971046,903.3828922377451,-70010.14668934235
164,-1.7057272566229078,-93.87776228886328,-1.5528206638411577,3.68060219465174,-69121.49416791185,718.1138038197284,-69839.60797173157
165,-2.0872625195232404,-93.02497081987525,-1.4984870513360815,3.1354532464934644,-69131.59148070568,543.4438726785739,-69675.03535338426
166,-2.4545011639319236,-92.31289680194998,-1.4385135736773382,2.555994349142794,-69137.97638721082,387.10927865267286,-69525.08566586349
167,-2.806078078980604,-91.7492640209956,-1.3732402721307309,1.949070433546133,-69141.63098406774,255.80989799664277,-69397.44088206439
168,-3.1406983026685635,-91.34007446650551,-1.3028846142255903,1.3216085999353258,-69143.4850785857,154.98709242339498,-69298.4721710091
169,-3.457102574340306,-91.089587796536,-1.2275055232980538,0.6806276891296281,-69144.3190620082,88.6510737421725,-69232.97013575038
170,-3.754018278399248,-91.00028698566926,-1.146918769312086,0.033363132415897945,-69144.70120836228,59.24410929022278,-69203.9453176525
171,-4.030086931013484,-91.07277701165255,-1.0606322684457627,-0.6122937029314537,-69144.99976306791,67.4929974383062,-69212.49276050623
172,-4.283817569254789,-91.3055485698699,-0.9681677243136215,-1.2472994795201702,-69145.52075762948,112.18971303062568,-69257.71047066011
173,-4.513651935359216,-91.69472594006055,-0.8694944182944652,-1.8619129255115658,-69146.68508936986,190.02331285345207,-69336.7084022233
174,-4.7180750426151485,-92.23400301183774,-0.7649537320339073,-2.44654377059508,-69149.08227600892,295.68287851155867,-69444.76515452049
